Mall,LAT,LONG
bugis junction,1.29901677414964,103.855482356252
bugis+,1.30095171530648,103.855172625542
capitol piazza,1.29306335877347,103.851293463737
cathay cineleisure orchard,1.30154050493495,103.836454301924
the centrepoint,1.3019783690418,103.839759023416
city square mall (),1.31138865009152,103.856626209616
citylink mall,1.29205114976789,103.85505075486
duo,1.29953434891664,103.85840168774
far east plaza,1.30731112598868,103.833939963454
funan,1.29124400604241,103.849984790048
great world city,1.2934759617967,103.831975865091
hdb hub,1.33221204872779,103.847030249246
"holland village, ",1.31235581565984,103.793591894665
ion orchard,1.30410678029615,103.831889151786
junction 8 shopping centre,1.35017243257766,103.848430075605
liat towers,1.30510759038418,103.830727915062
lucky plaza,1.30438875132206,103.834016628648
marina bay sands,1.28345419690844,103.860809048956
marina bay link mall,1.28046794331672,103.85347014858
marina square,1.29111729179215,103.857758268089
millenia walk,1.29204605302049,103.859900233499
mustafa centre,1.31008085318248,103.855299784017
ngee ann city,1.30218522211327,103.834757990795
orchard central,1.30072350356704,103.839692368177
orchard gateway,1.30044325279546,103.839442780042
palais renaissance,1.30665484543191,103.829588045188
people's park centre,1.28570964898095,103.843827426156
people's park complex,1.28412862636416,103.842584810783
plaza singapura,1.30082071769235,103.845067272666
raffles city ,1.29389357863312,103.853119904656
shaw house,1.30579243679039,103.831531920938
sim lim square,1.30302298387454,103.853038663697
"south beach, ",1.2943849319177,103.856029845509
square 2 (),1.27830729633252,103.850795180871
suntec city,1.29546675589675,103.858585026016
tanjong pagar centre,1.27660952826927,103.846180785876
tekka centre,1.30617773048079,103.850609985486
the adelphi,1.29118863044742,103.851181162108
"the paragon, ",1.30375855987932,103.835240308481
tiong bahru plaza,1.28647119992725,103.827158267789
thomson plaza,1.35465019298911,103.830944960934
novena square ,1.31983049912881,103.843976528625
wheelock place,1.3045363597328,103.830714231109
wisma atria,1.30369890679412,103.833189592785
bedok mall,1.32466897396909,103.92940545649
century square,1.35233364796526,103.943866721856
our tampines hub,1.35260645049748,103.940917969554
changi city point,1.33403637902708,103.962917615531
downtown east,1.37918445128046,103.955013328302
"eastpoint mall, ",1.34269199750599,103.953050756306
jewel changi airport,1.36033174518933,103.989670344538
katong shopping centre,1.30382040183737,103.901040040135
kallang wave mall,1.30384327182319,103.872750701661
leisure park kallang,1.30233745290722,103.876449175952
i12 katong,1.30522306203042,103.905043928938
parkway parade,1.30108003311455,103.90528181445
tampines 1,1.3522279450458,103.952437443086
tampines mall,1.35251841987916,103.944750834469
"white sands , ",1.36551781309107,103.960948215572
amk hub,1.36938922717717,103.848477965668
canberra plaza,1.44324523168314,103.83052345616
causeway point,1.43602941033741,103.786272321828
"northpoint city, ",1.42811357691004,103.836063081819
sembawang shopping centre,1.4418532534675,103.824832416105
"sun plaza, ",1.35926194211669,103.946744339346
waterway point,1.40644051771644,103.902302260187
compass one,1.39209415594052,103.894980025383
hougang mall,1.37243678271743,103.893723857613
heartland mall,1.35954450890401,103.885169070198
"nex, ",1.35088882151724,103.87211567247
oasis terraces,1.40263460056252,103.913270565628
punggol plaza,1.39425903241803,103.913050901332
seletar mall,1.39150192642807,103.87617162828
junction 10,1.38060494593138,103.760083897571
lot one,1.38511154927984,103.745036167492
west mall,1.35007361006306,103.749072499441
clementi mall,1.3154967542751,103.764570204717
imm (),1.33458277278836,103.746326509084
jcube,1.33323785085838,103.740191321438
jem (),1.3325523295069,103.743262234833
westgate (),1.33456298088397,103.742948615519
jurong point ,1.3394520043632,103.706685012926
pioneer mall,1.34159108725751,103.697020081587
one-north,1.30326050404129,103.789209731059
gek poh shopping centre,1.34874164662883,103.69773963001
west coast plaza,1.30374258287197,103.766092882107
queensway shopping centre,1.2876179255874,103.803391140455
